text,label
I am unhappy with this,0
Poor service and quality,0
Poor service and quality,0
I hated this product,0
Absolutely wonderful,1
Horrible performance,0
I am happy with this,1
I am happy with this,1
I am happy with this,1
Amazing experience,1
This movie was terrible,0
I loved this product,1
Highly recommend it,1
Excellent work,1
Absolutely wonderful,1
I hated this product,0
Amazing experience,1
I loved this product,1
Poor service and quality,0
Bad experience,0
This movie was fantastic,1
I am happy with this,1
Totally unsatisfied,0
Totally unsatisfied,0
I am happy with this,1
Horrible performance,0
Amazing experience,1
I hated this product,0
I am unhappy with this,0
I hated this product,0
Bad experience,0
Brilliant performance,1
Absolutely wonderful,1
Totally unsatisfied,0
This movie was terrible,0
Great service and quality,1
Great service and quality,1
I am unhappy with this,0
Totally unsatisfied,0
Very satisfied with this,1
Great service and quality,1
This movie was fantastic,1
Great service and quality,1
Absolutely awful,0
Great service and quality,1
Very satisfied with this,1
I loved this product,1
Bad experience,0
I hated this product,0
Brilliant performance,1
Very disappointing,0
I loved this product,1
This movie was terrible,0
I hated this product,0
I hated this product,0
Not recommended,0
I am unhappy with this,0
This movie was fantastic,1
Absolutely awful,0
I loved this product,1
Totally unsatisfied,0
Amazing experience,1
Totally unsatisfied,0
Amazing experience,1
Absolutely wonderful,1
This movie was fantastic,1
Brilliant performance,1
This movie was terrible,0
I hated this product,0
Amazing experience,1
Not recommended,0
Absolutely awful,0
Horrible performance,0
Absolutely wonderful,1
Very satisfied with this,1
Amazing experience,1
This movie was fantastic,1
Very disappointing,0
Excellent work,1
Excellent work,1
Not recommended,0
Great service and quality,1
Great service and quality,1
Poor service and quality,0
Horrible performance,0
This movie was fantastic,1
I am unhappy with this,0
Great service and quality,1
Bad experience,0
I am happy with this,1
I am unhappy with this,0
Bad experience,0
Horrible performance,0
This movie was terrible,0
Great service and quality,1
I am happy with this,1
This movie was terrible,0
Poor service and quality,0
This movie was terrible,0
Highly recommend it,1
